Wave.waves = 20
Wave.enemies = 14

0.enemies = Minion_Mage
1.enemies = Minion_Melee
2.enemies = Krug
3.enemies = Raptor_Mini
4.enemies = Gromp
5.enemies = RiderChaos
6.enemies = RiderOrder
7.enemies = Raptor
8.enemies = Alistar
9.enemies = Hecarim
10.enemies = Galio
11.enemies = Rammus
12.enemies = Udyr
13.enemies = Herald

Wave.info
8	8	3	3	0	0	0	0	0	0	0	0	0	0
12	12	6	6	3	1	1	0	0	0	0	0	0	0
14	13	7	7	4	1	2	1	0	0	0	0	0	0
16	14	8	7	4	2	2	2	1	0	0	0	0	0
18	15	9	8	5	3	3	3	2	1	1	1	1	0
21	16	10	9	7	5	5	5	3	1	1	1	1	0
24	18	12	10	7	5	6	6	5	2	2	2	1	0
28	19	14	11	9	5	6	8	6	2	3	2	1	0
30	21	16	12	12	6	7	9	9	2	3	3	1	0
30	25	18	15	15	6	8	10	10	2	3	4	2	0
0	0	0	0	0	0	0	0	12	3	4	5	2	1
0	0	0	0	0	0	0	0	14	4	4	6	2	1
0	0	0	0	0	0	0	0	16	6	5	6	3	1
0	0	0	0	0	0	0	0	18	7	5	7	3	2
0	0	0	0	0	0	0	0	20	8	6	7	5	2
0	0	0	0	0	0	0	0	22	9	7	8	5	2
0	0	0	0	0	0	0	0	24	10	9	8	6	3
0	0	0	0	0	0	0	0	26	12	9	9	7	3
0	0	0	0	0	0	0	0	28	15	12	10	7	3
0	0	0	0	0	0	0	0	32	20	15	12	10	5
