Wave.waves = 20
Wave.enemies = 14

0.enemies = Minion_Mage
1.enemies = Minion_Melee
2.enemies = Krug
3.enemies = Raptor_Mini
4.enemies = Gromp
5.enemies = RiderChaos
6.enemies = RiderOrder
7.enemies = Raptor
8.enemies = Alistar
9.enemies = Hecarim
10.enemies = Galio
11.enemies = Rammus
12.enemies = Udyr
13.enemies = Herald


Wave.info
12	9	0	0	0	0	0	0	0	0	0	0	0	0
14	12	4	4	0	0	0	0	0	0	0	0	0	0
17	15	7	7	4	0	0	0	0	0	0	0	0	0
21	17	10	10	5	4	0	0	1	0	0	0	0	0
25	19	13	12	8	6	3	4	3	0	0	0	0	0
0	0	15	18	16	8	5	6	5	0	0	0	0	0
0	0	18	18	18	11	6	7	6	0	0	0	0	0
0	0	22	22	20	13	7	8	8	0	0	0	0	0
0	0	0	0	25	20	15	16	10	0	0	0	0	0
0	0	0	0	0	0	0	18	15	1	1	1	0	0
0	0	0	0	0	0	0	20	18	2	2	3	0	1
0	0	0	0	0	0	0	25	20	3	2	3	2	1
0	0	0	0	0	0	0	0	20	4	3	3	2	2
0	0	0	0	0	0	0	0	20	5	4	3	3	2
0	0	0	0	0	0	0	0	20	6	4	3	3	2
0	0	0	0	0	0	0	0	20	6	5	3	3	2
0	0	0	0	0	0	0	0	20	6	5	5	3	2
0	0	0	0	0	0	0	0	20	7	5	7	5	4
0	0	0	0	0	0	0	0	20	8	5	8	6	4
0	0	0	0	0	0	0	0	25	10	7	9	8	5


