Level.dim_x = 15
Level.dim_y = 15
Level.max_enemies = 150
Level.max_money = 27
Level.min_money = 27
Level.max_health = 20000
Level.start_interval = 250
Level.min_interval = 150
Level.max_speed = 45
Level.pos_x = -17.7467 
Level.pos_y = 17.5
Level.pos_z = 4.4285
Level.dir_x = 0.4299
Level.dir_y = -0.992839 
Level.dir_z = 0
Level.start_money = 750

Level.base_speed = 14
Level.max_speed = 30
Level.increase_base_speed_per_wave = 1.09

Level.start_interval = 1200
Level.interval_loose_per_wave = 50
Level.min_interval = 330

Level.base_health = 50
Level.gain_health = 45


Level.map
-1	0	1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1
-1	0	2	0	8	9	10	11	12	0	0	0	0	0	0
-1	0	3	0	7	0	0	0	13	0	25	26	27	28	0
-1	0	4	5	6	0	-1	0	14	0	24	0	0	29	0
-1	0	0	0	0	0	-1	0	15	0	23	0	31	30	0
-1	-1	-1	-1	-1	-1	-1	0	16	0	22	0	32	0	0
-1	-1	-1	-1	-1	-1	-1	0	17	0	21	0	33	0	-1
-1	-1	-1	-1	-1	-1	-1	0	18	19	20	0	34	0	-1
-1	-1	-1	0	0	0	0	0	0	0	0	0	35	0	-1
-1	-1	-1	0	44	43	42	41	40	39	38	37	36	0	-1
-1	-1	-1	0	45	0	0	0	0	0	0	0	37	0	-1
-1	1000	52	51	50	0	-1	-1	-1	-1	-1	0	38	0	-1
-1	-1	-1	0	49	0	0	0	0	0	0	0	39	0	-1
-1	-1	-1	0	48	47	46	45	44	43	42	41	40	0	-1
-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1


